year,artist_name,artist_id,explicit,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,dim_1,dim_2,hcpc_pca_cluster,hcpc_cluster,k_cluster
1963,Jackie Wilson,4VnomLtKTm9Ahe1tZfmZju,FALSE,Baby Workout,2SnzwEu9uB9VGCx8Faj97j,0.584,0.68,8,-7.333,1,0.0817,0.515,0,0.204,0.884,141.529,audio_features,spotify:track:2SnzwEu9uB9VGCx8Faj97j,https://api.spotify.com/v1/tracks/2SnzwEu9uB9VGCx8Faj97j,https://api.spotify.com/v1/audio-analysis/2SnzwEu9uB9VGCx8Faj97j,182413,4,1.2533087545512756,0.41746246758478245,1963_3,1963_2,1963_3
1963,Marvin Gaye,3koiLjNrgRTNbOwViDipeA,FALSE,Pride And Joy,2raeINlZEF6cRCfB4CPulB,0.613,0.629,3,-9.258,1,0.0479,0.63,0,0.277,0.796,119.438,audio_features,spotify:track:2raeINlZEF6cRCfB4CPulB,https://api.spotify.com/v1/tracks/2raeINlZEF6cRCfB4CPulB,https://api.spotify.com/v1/audio-analysis/2raeINlZEF6cRCfB4CPulB,128640,4,0.709379893749103,-1.0228384044016838,1963_3,1963_1,1963_1
1963,Rufus Thomas,3iRSHS3b4NUdjNbnw3Opg8,FALSE,Walking The Dog,6iFYsQckCCtGsabW0rXEPn,0.805,0.442,8,-11.076,1,0.0337,0.598,4.52e-5,0.0416,0.736,115.436,audio_features,spotify:track:6iFYsQckCCtGsabW0rXEPn,https://api.spotify.com/v1/tracks/6iFYsQckCCtGsabW0rXEPn,https://api.spotify.com/v1/audio-analysis/6iFYsQckCCtGsabW0rXEPn,157760,4,0.004424533070417672,-0.9827041959238308,1963_3,1963_2,1963_3
1963,Ned Miller,59zvXMeM3koefoJWQhBki6,FALSE,From A Jack To A King,2Y5wf3Z590BsNIuTZbQqs9,0.657,0.305,10,-12.489,1,0.028,0.616,0,0.108,0.902,100.96,audio_features,spotify:track:2Y5wf3Z590BsNIuTZbQqs9,https://api.spotify.com/v1/tracks/2Y5wf3Z590BsNIuTZbQqs9,https://api.spotify.com/v1/audio-analysis/2Y5wf3Z590BsNIuTZbQqs9,127387,4,-0.5586316119940438,-1.37212194517862,1963_3,1963_1,1963_1
1963,The Drifters,1FqqOl9itIUpXr4jZPIVoT,FALSE,Up On The Roof,6A93S2n8U9hhXpbtTNUt9p,0.66,0.74,7,-7.474,1,0.0525,0.665,0.0174,0.0462,0.963,137.622,audio_features,spotify:track:6A93S2n8U9hhXpbtTNUt9p,https://api.spotify.com/v1/tracks/6A93S2n8U9hhXpbtTNUt9p,https://api.spotify.com/v1/audio-analysis/6A93S2n8U9hhXpbtTNUt9p,127440,4,1.6102097458652238,-1.2191060113049097,1963_3,1963_1,1963_1
1963,Johnny Mathis,21LGsW7bziR4Ledx7WZ1Wf,FALSE,What Will My Mary Say,6zYmF5WIfsj6wU8l1cOFYH,0.313,0.399,0,-9.552,1,0.031,0.776,2.31e-6,0.157,0.356,107.404,audio_features,spotify:track:6zYmF5WIfsj6wU8l1cOFYH,https://api.spotify.com/v1/tracks/6zYmF5WIfsj6wU8l1cOFYH,https://api.spotify.com/v1/audio-analysis/6zYmF5WIfsj6wU8l1cOFYH,189053,4,-1.7027411177421048,-0.0448624227763908,1963_1,1963_2,1963_3
1963,Jan Bradley,4tPAbp9qF8nR9becfJGQCZ,FALSE,Mama Didn't Lie,6JQNXgW5OKGaFiZvp47x9q,0.754,0.451,8,-10.848,0,0.099,0.84,1.24e-4,0.107,0.761,121.548,audio_features,spotify:track:6JQNXgW5OKGaFiZvp47x9q,https://api.spotify.com/v1/tracks/6JQNXgW5OKGaFiZvp47x9q,https://api.spotify.com/v1/audio-analysis/6JQNXgW5OKGaFiZvp47x9q,127867,4,0.17562071061856072,0.18250912703391192,1963_3,1963_1,1963_1
1963,Bobby Vee,5MX2l6ewjOaeWn1lYNhzlO,FALSE,The Night Has A Thousand Eyes,6zM7x0c9MYS4NqJxhoFH3S,0.514,0.54,10,-8.75,0,0.0371,0.525,0,0.441,0.658,96.568,audio_features,spotify:track:6zM7x0c9MYS4NqJxhoFH3S,https://api.spotify.com/v1/tracks/6zM7x0c9MYS4NqJxhoFH3S,https://api.spotify.com/v1/audio-analysis/6zM7x0c9MYS4NqJxhoFH3S,156187,4,-0.13112979668130992,1.5383430109658442,1963_2,1963_2,1963_3
1963,The Cookies,1xbffduk2SYqON9nXu6jLt,FALSE,Don't Say Nothin' (Bad About My Baby),1njqbEFpgr6kYVaRbsqEA6,0.618,0.627,2,-5.485,1,0.0341,0.619,0.0114,0.341,0.919,123.872,audio_features,spotify:track:1njqbEFpgr6kYVaRbsqEA6,https://api.spotify.com/v1/tracks/1njqbEFpgr6kYVaRbsqEA6,https://api.spotify.com/v1/audio-analysis/1njqbEFpgr6kYVaRbsqEA6,165173,4,1.3906799210711343,-0.5566533841953655,1963_3,1963_2,1963_3
1963,Johnny Cash,6kACVPfCOnqzgfEF5ryl0x,FALSE,Ring Of Fire - Single Version,5BDEk47Z2Rp86naUE6OxHf,0.664,0.39,7,-11.766,1,0.0279,0.197,3.27e-4,0.401,0.62,104.57,audio_features,spotify:track:5BDEk47Z2Rp86naUE6OxHf,https://api.spotify.com/v1/tracks/5BDEk47Z2Rp86naUE6OxHf,https://api.spotify.com/v1/audio-analysis/5BDEk47Z2Rp86naUE6OxHf,155827,4,-0.26201782571514715,-0.01703815762130958,1963_3,1963_2,1963_3
1963,Doris Troy,3jiBDfjnWIdLQEEOdKqZex,FALSE,Just One Look,0JKW3OcKyuAKBkqRwphTXj,0.882,0.674,5,-9.102,1,0.029,0.158,0.00134,0.0738,0.964,104.709,audio_features,spotify:track:0JKW3OcKyuAKBkqRwphTXj,https://api.spotify.com/v1/tracks/0JKW3OcKyuAKBkqRwphTXj,https://api.spotify.com/v1/audio-analysis/0JKW3OcKyuAKBkqRwphTXj,159280,4,1.9458790222654245,-1.1775345020887973,1963_3,1963_2,1963_3
1963,Allan Sherman,1enLi8njBlk1YlDg44MtJm,FALSE,"Hello Muddah, Hello Faddah - A Letter From Camp Remastered",2Vo28PCuSInCfdZ2WMHVPL,0.619,0.409,9,-12.887,1,0.201,0.81,0,0.641,0.596,115.591,audio_features,spotify:track:2Vo28PCuSInCfdZ2WMHVPL,https://api.spotify.com/v1/tracks/2Vo28PCuSInCfdZ2WMHVPL,https://api.spotify.com/v1/audio-analysis/2Vo28PCuSInCfdZ2WMHVPL,174653,4,-1.0936446572137533,1.6703366118481937,1963_2,1963_2,1963_3
1963,Lesley Gore,08b2PA6eFyugsWAk41eQKZ,FALSE,Judy's Turn To Cry,4H5SDZUHWIOmZ517yhZ9zv,0.712,0.568,2,-12.699,1,0.0332,0.0421,0.00596,0.11,0.963,133.147,audio_features,spotify:track:4H5SDZUHWIOmZ517yhZ9zv,https://api.spotify.com/v1/tracks/4H5SDZUHWIOmZ517yhZ9zv,https://api.spotify.com/v1/audio-analysis/4H5SDZUHWIOmZ517yhZ9zv,137760,4,1.622633105367142,-1.2821900461700158,1963_3,1963_1,1963_1
