"","album_year_4dgt","danceability_avg","energy_avg","key_avg","loudness_avg","mode_avg","speechiness_avg","acousticness_avg","instrumentalness_avg","liveness_avg","valence_avg","tempo_avg"
"1",1960,0.464342642405063,0.318139335443038,4.93670886075949,-14.5597056962025,0.768987341772152,0.0896294303797468,0.790786732594937,0.223168911511076,0.231257357594937,0.489643037974684,111.722662183544
"2",1961,0.473650146627566,0.297451515151515,5.01368523949169,-15.2042903225806,0.749755620723363,0.101350830889541,0.780194112414467,0.243028090909091,0.226759530791789,0.475326490713588,109.541449657869
"3",1962,0.465497304128054,0.340190754001685,5.11710193765796,-14.430302443134,0.756529064869419,0.0962297388374052,0.762818896377422,0.172103850303286,0.2320449873631,0.505338247683235,112.702957877001
"4",1963,0.473734779661017,0.360532366101695,4.99593220338983,-13.6256379661017,0.784406779661017,0.0863090847457627,0.751999084745763,0.184439050874576,0.249286644067797,0.506244271186441,113.178741694915
"5",1964,0.474467064168086,0.375842311186826,4.80352072685974,-13.4775672913118,0.810335036910846,0.0785469619534356,0.740945848949461,0.190188350318001,0.238424645088018,0.522065990914253,111.989777967064
"6",1965,0.485909833795014,0.392362746999077,5.02123730378578,-12.9821860572484,0.774699907663897,0.0806138965835642,0.685423729224377,0.155553970387812,0.230710341643583,0.536696999076639,113.959220683287
"7",1966,0.486213939105614,0.414447059942912,4.97954329210276,-12.4530428163654,0.79162702188392,0.0708978591817317,0.649510945261656,0.156927566917222,0.21999186489058,0.55210808753568,114.529904852521
"8",1967,0.482792167207792,0.421396327922078,5.1351461038961,-12.4134780844156,0.785714285714286,0.0660494318181818,0.623569761976461,0.14385497669237,0.224819724025974,0.541768790584416,115.383058847403
"9",1968,0.487160151575588,0.416600370961308,5.06302353410451,-12.5647499002792,0.786996410051855,0.0640647786198644,0.601751599082569,0.164330886282409,0.217175827682489,0.540466773035501,113.270273234942
"10",1969,0.481703767123288,0.452615572407045,5.05821917808219,-12.2632299412916,0.76174168297456,0.0618181996086106,0.523993313502935,0.168005801981409,0.226410322896282,0.551850151663405,116.308354696673
"11",1970,0.491722237076649,0.470596390374332,5.05124777183601,-12.1130935828877,0.78030303030303,0.0754163101604278,0.515114182295009,0.166345109050802,0.237074688057041,0.574437834224599,115.833761586453
"12",1971,0.487924231298761,0.462766296466269,5.16291877007802,-12.4597475906379,0.774667278568151,0.0738480954566315,0.529499254887563,0.170325052927949,0.232823910050482,0.558578797613584,117.278776502983
"13",1972,0.503247900763359,0.465355443320611,5.0881679389313,-12.4819583969466,0.779007633587786,0.0740943129770992,0.530905619198473,0.169435949145038,0.230264770992366,0.566053664122137,118.815536641221
"14",1973,0.494790671641791,0.468361575456053,4.9879767827529,-12.5829141791045,0.776119402985075,0.0698608623548922,0.523770233635987,0.186918627118574,0.225694527363184,0.559937064676617,118.530508706468
"15",1974,0.503140899357602,0.478669198715203,5.09079229122056,-12.6031092077088,0.777730192719486,0.0759435546038544,0.50734004620985,0.182542034993576,0.234319057815846,0.563333704496788,117.715415845824
"16",1975,0.507611326860841,0.465873795307443,5.10760517799353,-12.6853899676375,0.760113268608414,0.074601860841424,0.525935256067961,0.173694345529935,0.231567839805825,0.559064482200647,117.275591423948
"17",1976,0.521935821441639,0.496911650201244,5.06586169045006,-12.3493410171972,0.736187339919502,0.0706268569337724,0.464224987398463,0.166617890911087,0.223445773874863,0.57227588730333,118.958716794731
"18",1977,0.523935241502683,0.497918762075134,5.13953488372093,-12.517313059034,0.758139534883721,0.0771364937388193,0.47026542436136,0.153347272010733,0.238501001788909,0.576918533094812,119.813523076923
"19",1978,0.524797690692792,0.521230433869839,5.20853743876837,-12.0571658502449,0.720783764870539,0.0722603918824353,0.425952575115465,0.153806006182645,0.227627536738978,0.575217914625612,119.678870538838
"20",1979,0.546542418569824,0.536409367278173,5.37289404717334,-12.0638030700112,0.721078247847248,0.0751954324223137,0.403395652295021,0.142225190894796,0.22488708348933,0.601558554848371,121.02599775365
